district_id,pvi_string,pvi_numeric,incumbent_party
AL-01,R+27,-27.0,R
AL-02,D+5,5.0,D
AL-03,R+23,-23.0,R
AL-04,R+33,-33.0,R
AL-05,R+15,-15.0,R
AL-06,R+20,-20.0,R
AL-07,D+13,13.0,D
AK-01,R+6,-6.0,R
AZ-01,R+1,-1.0,R
AZ-02,R+7,-7.0,R
AZ-03,D+22,22.0,D
AZ-04,D+4,4.0,D
AZ-05,R+10,-10.0,R
AZ-06,EVEN,0.0,R
AZ-07,D+13,13.0,D
AZ-08,R+8,-8.0,R
AZ-09,R+15,-15.0,R
AR-01,R+23,-23.0,R
AR-02,R+8,-8.0,R
AR-03,R+13,-13.0,R
AR-04,R+20,-20.0,R
CA-01,R+12,-12.0,R
CA-02,D+24,24.0,D
CA-03,R+2,-2.0,R
CA-04,D+17,17.0,D
CA-05,R+8,-8.0,R
CA-06,D+8,8.0,D
CA-07,D+16,16.0,D
CA-08,D+24,24.0,D
CA-09,D+1,1.0,D
CA-10,D+18,18.0,D
CA-11,D+36,36.0,D
CA-12,D+39,39.0,D
CA-13,R+1,-1.0,D
CA-14,D+20,20.0,D
CA-15,D+26,26.0,D
CA-16,D+26,26.0,D
CA-17,D+21,21.0,D
CA-18,D+17,17.0,D
CA-19,D+18,18.0,D
CA-20,R+15,-15.0,R
CA-21,D+4,4.0,D
CA-22,R+1,-1.0,R
CA-23,R+8,-8.0,R
CA-24,D+13,13.0,D
CA-25,D+3,3.0,D
CA-26,D+8,8.0,D
CA-27,D+3,3.0,D
CA-28,D+15,15.0,D
CA-29,D+20,20.0,D
CA-30,D+22,22.0,D
CA-31,D+10,10.0,D
CA-32,D+17,17.0,D
CA-33,D+7,7.0,D
CA-34,D+28,28.0,D
CA-35,D+8,8.0,D
CA-36,D+21,21.0,D
CA-37,D+33,33.0,D
CA-38,D+10,10.0,D
CA-39,D+7,7.0,D
CA-40,R+1,-1.0,R
CA-41,R+2,-2.0,R
CA-42,D+18,18.0,D
CA-43,D+27,27.0,D
CA-44,D+19,19.0,D
CA-45,D+1,1.0,D
CA-46,D+11,11.0,D
CA-47,D+3,3.0,D
CA-48,R+7,-7.0,R
CA-49,D+4,4.0,D
CA-50,D+16,16.0,D
CA-51,D+13,13.0,D
CA-52,D+13,13.0,D
CO-01,D+29,29.0,D
CO-02,D+20,20.0,D
CO-03,R+5,-5.0,R
CO-04,R+9,-9.0,R
CO-05,R+5,-5.0,R
CO-06,D+11,11.0,D
CO-07,D+8,8.0,D
CO-08,EVEN,0.0,R
CT-01,D+12,12.0,D
CT-02,D+4,4.0,D
CT-03,D+8,8.0,D
CT-04,D+13,13.0,D
CT-05,D+3,3.0,D
DE-01,D+8,8.0,D
FL-01,R+18,-18.0,R
FL-02,R+8,-8.0,R
FL-03,R+10,-10.0,R
FL-04,R+5,-5.0,R
FL-05,R+10,-10.0,R
FL-06,R+14,-14.0,R
FL-07,R+5,-5.0,R
